DeathCOD39ICDCode39Desc,DeathCountyCountyName,Deaths,Population,SORT
Tuberculosis (A16-A19),Adams,0,28500,0
Syphilis (A50-A53),Adams,0,28500,2
Human immunodeficiency virus (HIV) disease (B20-B24),Adams,0,28500,4
Malignant neoplasm of stomach (C16),Adams,0,28500,6
Malignant neoplasms of colon rectum and anus (C18-C21),Adams,5,28500,8
Malignant neoplasm of pancreas (C25),Adams,7,28500,10
Malignant neoplasms of trachea bronchus and lung (C33-C34),Adams,28,28500,12
Malignant neoplasm of breast (C50),Adams,4,28500,14
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Adams,7,28500,16
Malignant neoplasm of prostate (C61),Adams,1,28500,18
Malignant neoplasms of urinary tract (C64-C68),Adams,4,28500,20
Non-Hodgkin’s lymphoma (C82-C85),Adams,1,28500,22
Leukemia (C91-C95),Adams,2,28500,24
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Adams,22,28500,26
Diabetes mellitus (E10-E14),Adams,10,28500,28
Alzheimer’s disease (G30),Adams,4,28500,30
Hypertensive heart disease with or without renal disease (I11I13),Adams,2,28500,32
Ischemic heart diseases (I20-I25),Adams,40,28500,34
Other diseases of heart (I00-I09I26-I51),Adams,20,28500,36
Essential (primary) hypertension and hypertensive renal disease (I10I12),Adams,0,28500,38
Cerebrovascular diseases (I60-I69),Adams,20,28500,40
Atherosclerosis (I70),Adams,0,28500,42
Other diseases of circulatory system (I71-I78),Adams,3,28500,44
Influenza and pneumonia (J09-J18),Adams,6,28500,46
Chronic lower respiratory diseases (J40-J47),Adams,26,28500,48
Peptic ulcer (K25-K28),Adams,0,28500,50
Chronic liver disease and cirrhosis (K70K73-K74),Adams,6,28500,52
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Adams,2,28500,54
Pregnancy childbirth and the puerperium (O00-O99),Adams,0,28500,56
Certain conditions originating in the perinatal period (P00-P96),Adams,7,28500,58
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Adams,1,28500,60
Sudden infant death syndrome (R95),Adams,0,28500,62
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),Adams,9,28500,64
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),Adams,43,28500,66
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),Adams,8,28500,68
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),Adams,19,28500,70
Intentional self-harm (suicide) (*U03X60-X84Y87.0),Adams,4,28500,72
Assault (homicide) (*U01-*U02X85-Y09Y87.1),Adams,3,28500,74
All other external causes (Y10-Y36Y87.2Y89),Adams,0,28500,76
Tuberculosis (A16-A19),Allen,0,106518,80
Syphilis (A50-A53),Allen,0,106518,82
Human immunodeficiency virus (HIV) disease (B20-B24),Allen,0,106518,84
Malignant neoplasm of stomach (C16),Allen,3,106518,86
Malignant neoplasms of colon rectum and anus (C18-C21),Allen,22,106518,88
Malignant neoplasm of pancreas (C25),Allen,9,106518,90
Malignant neoplasms of trachea bronchus and lung (C33-C34),Allen,79,106518,92
Malignant neoplasm of breast (C50),Allen,11,106518,94
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Allen,12,106518,96
Malignant neoplasm of prostate (C61),Allen,9,106518,98
Malignant neoplasms of urinary tract (C64-C68),Allen,13,106518,100
Non-Hodgkin’s lymphoma (C82-C85),Allen,9,106518,102
Leukemia (C91-C95),Allen,6,106518,104
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Allen,65,106518,106
Diabetes mellitus (E10-E14),Allen,22,106518,108
Alzheimer’s disease (G30),Allen,48,106518,110
Hypertensive heart disease with or without renal disease (I11I13),Allen,9,106518,112
Ischemic heart diseases (I20-I25),Allen,198,106518,114
Other diseases of heart (I00-I09I26-I51),Allen,50,106518,116
Essential (primary) hypertension and hypertensive renal disease (I10I12),Allen,18,106518,118
Cerebrovascular diseases (I60-I69),Allen,61,106518,120
Atherosclerosis (I70),Allen,5,106518,122
Other diseases of circulatory system (I71-I78),Allen,9,106518,124
Influenza and pneumonia (J09-J18),Allen,29,106518,126
Chronic lower respiratory diseases (J40-J47),Allen,65,106518,128
Peptic ulcer (K25-K28),Allen,1,106518,130
Chronic liver disease and cirrhosis (K70K73-K74),Allen,6,106518,132
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Allen,23,106518,134
Pregnancy childbirth and the puerperium (O00-O99),Allen,2,106518,136
Certain conditions originating in the perinatal period (P00-P96),Allen,6,106518,138
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Allen,4,106518,140
Sudden infant death syndrome (R95),Allen,4,106518,142
