DeathCOD39ICDCode39Desc,DeathCountyCountyName,Deaths,Population,SORT
Tuberculosis (A16-A19),Adams,0,27919,0
Syphilis (A50-A53),Adams,0,27919,2
Human immunodeficiency virus (HIV) disease (B20-B24),Adams,1,27919,4
Malignant neoplasm of stomach (C16),Adams,1,27919,6
Malignant neoplasms of colon rectum and anus (C18-C21),Adams,14,27919,8
Malignant neoplasm of pancreas (C25),Adams,5,27919,10
Malignant neoplasms of trachea bronchus and lung (C33-C34),Adams,24,27919,12
Malignant neoplasm of breast (C50),Adams,2,27919,14
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Adams,1,27919,16
Malignant neoplasm of prostate (C61),Adams,3,27919,18
Malignant neoplasms of urinary tract (C64-C68),Adams,4,27919,20
Non-Hodgkin’s lymphoma (C82-C85),Adams,2,27919,22
Leukemia (C91-C95),Adams,3,27919,24
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Adams,13,27919,26
Diabetes mellitus (E10-E14),Adams,10,27919,28
Alzheimer’s disease (G30),Adams,9,27919,30
Hypertensive heart disease with or without renal disease (I11I13),Adams,6,27919,32
Ischemic heart diseases (I20-I25),Adams,52,27919,34
Other diseases of heart (I00-I09I26-I51),Adams,22,27919,36
Essential (primary) hypertension and hypertensive renal disease (I10I12),Adams,6,27919,38
Cerebrovascular diseases (I60-I69),Adams,13,27919,40
Atherosclerosis (I70),Adams,0,27919,42
Other diseases of circulatory system (I71-I78),Adams,3,27919,44
Influenza and pneumonia (J09-J18),Adams,11,27919,46
Chronic lower respiratory diseases (J40-J47),Adams,25,27919,48
Peptic ulcer (K25-K28),Adams,1,27919,50
Chronic liver disease and cirrhosis (K70K73-K74),Adams,6,27919,52
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Adams,6,27919,54
Pregnancy childbirth and the puerperium (O00-O99),Adams,0,27919,56
Certain conditions originating in the perinatal period (P00-P96),Adams,1,27919,58
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Adams,1,27919,60
Sudden infant death syndrome (R95),Adams,0,27919,62
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),Adams,13,27919,64
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),Adams,59,27919,66
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),Adams,5,27919,68
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),Adams,21,27919,70
Intentional self-harm (suicide) (*U03X60-X84Y87.0),Adams,4,27919,72
Assault (homicide) (*U01-*U02X85-Y09Y87.1),Adams,0,27919,74
All other external causes (Y10-Y36Y87.2Y89),Adams,0,27919,76
Tuberculosis (A16-A19),Allen,0,104141,80
Syphilis (A50-A53),Allen,0,104141,82
Human immunodeficiency virus (HIV) disease (B20-B24),Allen,1,104141,84
Malignant neoplasm of stomach (C16),Allen,7,104141,86
Malignant neoplasms of colon rectum and anus (C18-C21),Allen,19,104141,88
Malignant neoplasm of pancreas (C25),Allen,18,104141,90
Malignant neoplasms of trachea bronchus and lung (C33-C34),Allen,87,104141,92
Malignant neoplasm of breast (C50),Allen,21,104141,94
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Allen,7,104141,96
Malignant neoplasm of prostate (C61),Allen,11,104141,98
Malignant neoplasms of urinary tract (C64-C68),Allen,11,104141,100
Non-Hodgkin’s lymphoma (C82-C85),Allen,11,104141,102
Leukemia (C91-C95),Allen,13,104141,104
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Allen,66,104141,106
Diabetes mellitus (E10-E14),Allen,37,104141,108
Alzheimer’s disease (G30),Allen,34,104141,110
Hypertensive heart disease with or without renal disease (I11I13),Allen,6,104141,112
Ischemic heart diseases (I20-I25),Allen,159,104141,114
Other diseases of heart (I00-I09I26-I51),Allen,69,104141,116
Essential (primary) hypertension and hypertensive renal disease (I10I12),Allen,13,104141,118
Cerebrovascular diseases (I60-I69),Allen,58,104141,120
Atherosclerosis (I70),Allen,5,104141,122
Other diseases of circulatory system (I71-I78),Allen,6,104141,124
Influenza and pneumonia (J09-J18),Allen,57,104141,126
Chronic lower respiratory diseases (J40-J47),Allen,69,104141,128
Peptic ulcer (K25-K28),Allen,1,104141,130
Chronic liver disease and cirrhosis (K70K73-K74),Allen,15,104141,132
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Allen,14,104141,134
Pregnancy childbirth and the puerperium (O00-O99),Allen,1,104141,136
Certain conditions originating in the perinatal period (P00-P96),Allen,4,104141,138
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Allen,4,104141,140
Sudden infant death syndrome (R95),Allen,3,104141,142
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),Allen,13,104141,144
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),Allen,202,104141,146
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),Allen,10,104141,148
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),Allen,36,104141,150
Intentional self-harm (suicide) (*U03X60-X84Y87.0),Allen,18,104141,152
Assault (homicide) (*U01-*U02X85-Y09Y87.1),Allen,4,104141,154
All other external causes (Y10-Y36Y87.2Y89),Allen,1,104141,156
Tuberculosis (A16-A19),Ashland,0,53317,160
Syphilis (A50-A53),Ashland,0,53317,162
Human immunodeficiency virus (HIV) disease (B20-B24),Ashland,0,53317,164
Malignant neoplasm of stomach (C16),Ashland,1,53317,166
Malignant neoplasms of colon rectum and anus (C18-C21),Ashland,12,53317,168
Malignant neoplasm of pancreas (C25),Ashland,10,53317,170
Malignant neoplasms of trachea bronchus and lung (C33-C34),Ashland,26,53317,172
Malignant neoplasm of breast (C50),Ashland,6,53317,174
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Ashland,6,53317,176
Malignant neoplasm of prostate (C61),Ashland,8,53317,178
Malignant neoplasms of urinary tract (C64-C68),Ashland,3,53317,180
Non-Hodgkin’s lymphoma (C82-C85),Ashland,7,53317,182
Leukemia (C91-C95),Ashland,3,53317,184
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Ashland,43,53317,186
Diabetes mellitus (E10-E14),Ashland,16,53317,188
Alzheimer’s disease (G30),Ashland,41,53317,190
Hypertensive heart disease with or without renal disease (I11I13),Ashland,6,53317,192
Ischemic heart diseases (I20-I25),Ashland,59,53317,194
Other diseases of heart (I00-I09I26-I51),Ashland,53,53317,196
Essential (primary) hypertension and hypertensive renal disease (I10I12),Ashland,7,53317,198
Cerebrovascular diseases (I60-I69),Ashland,32,53317,200
Atherosclerosis (I70),Ashland,5,53317,202
Other diseases of circulatory system (I71-I78),Ashland,2,53317,204
Influenza and pneumonia (J09-J18),Ashland,9,53317,206
Chronic lower respiratory diseases (J40-J47),Ashland,36,53317,208
Peptic ulcer (K25-K28),Ashland,1,53317,210
Chronic liver disease and cirrhosis (K70K73-K74),Ashland,8,53317,212
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Ashland,6,53317,214
Pregnancy childbirth and the puerperium (O00-O99),Ashland,1,53317,216
Certain conditions originating in the perinatal period (P00-P96),Ashland,2,53317,218
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Ashland,5,53317,220
Sudden infant death syndrome (R95),Ashland,1,53317,222
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),Ashland,3,53317,224
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),Ashland,86,53317,226
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),Ashland,8,53317,228
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),Ashland,20,53317,230
Intentional self-harm (suicide) (*U03X60-X84Y87.0),Ashland,3,53317,232
Assault (homicide) (*U01-*U02X85-Y09Y87.1),Ashland,0,53317,234
All other external causes (Y10-Y36Y87.2Y89),Ashland,1,53317,236
Tuberculosis (A16-A19),Ashtabula,0,98443,240
Syphilis (A50-A53),Ashtabula,0,98443,242
Human immunodeficiency virus (HIV) disease (B20-B24),Ashtabula,1,98443,244
Malignant neoplasm of stomach (C16),Ashtabula,4,98443,246
Malignant neoplasms of colon rectum and anus (C18-C21),Ashtabula,26,98443,248
