DeathCOD39ICDCode39Desc,DeathCountyCountyName,Deaths,Population,SORT
Tuberculosis (A16-A19),Adams,0,28085,0
Syphilis (A50-A53),Adams,0,28085,2
Human immunodeficiency virus (HIV) disease (B20-B24),Adams,0,28085,4
Malignant neoplasm of stomach (C16),Adams,0,28085,6
Malignant neoplasms of colon rectum and anus (C18-C21),Adams,9,28085,8
Malignant neoplasm of pancreas (C25),Adams,4,28085,10
Malignant neoplasms of trachea bronchus and lung (C33-C34),Adams,23,28085,12
Malignant neoplasm of breast (C50),Adams,4,28085,14
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Adams,2,28085,16
Malignant neoplasm of prostate (C61),Adams,1,28085,18
Malignant neoplasms of urinary tract (C64-C68),Adams,2,28085,20
Non-Hodgkin’s lymphoma (C82-C85),Adams,1,28085,22
Leukemia (C91-C95),Adams,1,28085,24
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Adams,14,28085,26
Diabetes mellitus (E10-E14),Adams,7,28085,28
Alzheimer’s disease (G30),Adams,10,28085,30
Hypertensive heart disease with or without renal disease (I11I13),Adams,0,28085,32
Ischemic heart diseases (I20-I25),Adams,44,28085,34
Other diseases of heart (I00-I09I26-I51),Adams,19,28085,36
Essential (primary) hypertension and hypertensive renal disease (I10I12),Adams,1,28085,38
Cerebrovascular diseases (I60-I69),Adams,25,28085,40
Atherosclerosis (I70),Adams,1,28085,42
Other diseases of circulatory system (I71-I78),Adams,3,28085,44
Influenza and pneumonia (J09-J18),Adams,9,28085,46
Chronic lower respiratory diseases (J40-J47),Adams,39,28085,48
Peptic ulcer (K25-K28),Adams,0,28085,50
Chronic liver disease and cirrhosis (K70K73-K74),Adams,4,28085,52
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Adams,3,28085,54
Pregnancy childbirth and the puerperium (O00-O99),Adams,0,28085,56
Certain conditions originating in the perinatal period (P00-P96),Adams,1,28085,58
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Adams,4,28085,60
Sudden infant death syndrome (R95),Adams,0,28085,62
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),Adams,22,28085,64
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),Adams,62,28085,66
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),Adams,3,28085,68
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),Adams,13,28085,70
Intentional self-harm (suicide) (*U03X60-X84Y87.0),Adams,5,28085,72
Assault (homicide) (*U01-*U02X85-Y09Y87.1),Adams,1,28085,74
All other external causes (Y10-Y36Y87.2Y89),Adams,0,28085,76
Tuberculosis (A16-A19),Allen,0,105071,80
Syphilis (A50-A53),Allen,0,105071,82
Human immunodeficiency virus (HIV) disease (B20-B24),Allen,1,105071,84
Malignant neoplasm of stomach (C16),Allen,1,105071,86
Malignant neoplasms of colon rectum and anus (C18-C21),Allen,20,105071,88
Malignant neoplasm of pancreas (C25),Allen,14,105071,90
Malignant neoplasms of trachea bronchus and lung (C33-C34),Allen,69,105071,92
Malignant neoplasm of breast (C50),Allen,25,105071,94
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Allen,11,105071,96
Malignant neoplasm of prostate (C61),Allen,9,105071,98
Malignant neoplasms of urinary tract (C64-C68),Allen,15,105071,100
Non-Hodgkin’s lymphoma (C82-C85),Allen,7,105071,102
Leukemia (C91-C95),Allen,12,105071,104
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Allen,67,105071,106
Diabetes mellitus (E10-E14),Allen,28,105071,108
Alzheimer’s disease (G30),Allen,45,105071,110
Hypertensive heart disease with or without renal disease (I11I13),Allen,11,105071,112
Ischemic heart diseases (I20-I25),Allen,192,105071,114
Other diseases of heart (I00-I09I26-I51),Allen,68,105071,116
Essential (primary) hypertension and hypertensive renal disease (I10I12),Allen,19,105071,118
Cerebrovascular diseases (I60-I69),Allen,58,105071,120
Atherosclerosis (I70),Allen,8,105071,122
Other diseases of circulatory system (I71-I78),Allen,6,105071,124
Influenza and pneumonia (J09-J18),Allen,39,105071,126
Chronic lower respiratory diseases (J40-J47),Allen,83,105071,128
Peptic ulcer (K25-K28),Allen,3,105071,130
Chronic liver disease and cirrhosis (K70K73-K74),Allen,9,105071,132
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Allen,12,105071,134
Pregnancy childbirth and the puerperium (O00-O99),Allen,0,105071,136
Certain conditions originating in the perinatal period (P00-P96),Allen,3,105071,138
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Allen,2,105071,140
Sudden infant death syndrome (R95),Allen,1,105071,142
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),Allen,10,105071,144
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),Allen,187,105071,146
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),Allen,8,105071,148
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),Allen,31,105071,150
Intentional self-harm (suicide) (*U03X60-X84Y87.0),Allen,5,105071,152
Assault (homicide) (*U01-*U02X85-Y09Y87.1),Allen,3,105071,154
All other external causes (Y10-Y36Y87.2Y89),Allen,1,105071,156
Tuberculosis (A16-A19),Ashland,0,53163,160
Syphilis (A50-A53),Ashland,0,53163,162
Human immunodeficiency virus (HIV) disease (B20-B24),Ashland,0,53163,164
Malignant neoplasm of stomach (C16),Ashland,0,53163,166
Malignant neoplasms of colon rectum and anus (C18-C21),Ashland,17,53163,168
Malignant neoplasm of pancreas (C25),Ashland,12,53163,170
Malignant neoplasms of trachea bronchus and lung (C33-C34),Ashland,38,53163,172
Malignant neoplasm of breast (C50),Ashland,9,53163,174
Malignant neoplasms of cervix uteri corpus uteri and ovary (C53-C56),Ashland,5,53163,176
Malignant neoplasm of prostate (C61),Ashland,3,53163,178
Malignant neoplasms of urinary tract (C64-C68),Ashland,5,53163,180
Non-Hodgkin’s lymphoma (C82-C85),Ashland,1,53163,182
Leukemia (C91-C95),Ashland,9,53163,184
Other malignant neoplasms (C00-C15C17C22-C24C26-C32C37-C49C51-C52C57-C60C62-C63C69-C81C88C90C96-C97),Ashland,33,53163,186
Diabetes mellitus (E10-E14),Ashland,15,53163,188
Alzheimer’s disease (G30),Ashland,49,53163,190
Hypertensive heart disease with or without renal disease (I11I13),Ashland,4,53163,192
Ischemic heart diseases (I20-I25),Ashland,96,53163,194
Other diseases of heart (I00-I09I26-I51),Ashland,41,53163,196
Essential (primary) hypertension and hypertensive renal disease (I10I12),Ashland,11,53163,198
Cerebrovascular diseases (I60-I69),Ashland,23,53163,200
Atherosclerosis (I70),Ashland,6,53163,202
Other diseases of circulatory system (I71-I78),Ashland,2,53163,204
Influenza and pneumonia (J09-J18),Ashland,12,53163,206
Chronic lower respiratory diseases (J40-J47),Ashland,32,53163,208
Peptic ulcer (K25-K28),Ashland,1,53163,210
Chronic liver disease and cirrhosis (K70K73-K74),Ashland,2,53163,212
Nephritis nephrotic syndrome and nephrosis (N00-N07N17-N19N25-N27),Ashland,9,53163,214
Pregnancy childbirth and the puerperium (O00-O99),Ashland,0,53163,216
Certain conditions originating in the perinatal period (P00-P96),Ashland,1,53163,218
Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),Ashland,2,53163,220
Sudden infant death syndrome (R95),Ashland,0,53163,222
Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (excluding Sudden infant death syndrome) (R00-R94R96-R99),Ashland,1,53163,224
All other diseases (Residual) (A00-A09A20-A49A54-B19B25-B99D00-E07E15-G25G31-H93I80-J06J20-J39J60-K22K29-K66K71-K72K75-M99N10-N15N20-N23N28-N98U049U070U071),Ashland,84,53163,226
Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),Ashland,9,53163,228
All other and unspecified accidents and adverse effects (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9V90-X59Y40-Y86Y88),Ashland,9,53163,230
Intentional self-harm (suicide) (*U03X60-X84Y87.0),Ashland,3,53163,232
Assault (homicide) (*U01-*U02X85-Y09Y87.1),Ashland,0,53163,234
All other external causes (Y10-Y36Y87.2Y89),Ashland,4,53163,236
Tuberculosis (A16-A19),Ashtabula,0,99779,240
